Customer ID,Country
13085,United Kingdom
13078,United Kingdom
15362,United Kingdom
18102,United Kingdom
12682,France
18087,United Kingdom
13635,United Kingdom
14110,United Kingdom
12636,USA
17519,United Kingdom
13758,United Kingdom
12362,Belgium
15413,United Kingdom
16321,Australia
17592,United Kingdom
16167,United Kingdom
17865,United Kingdom
17850,United Kingdom
13047,United Kingdom
12583,France
13748,United Kingdom
15100,United Kingdom
15291,United Kingdom
14688,United Kingdom
17809,United Kingdom
15311,United Kingdom
14527,United Kingdom
16098,United Kingdom
18074,United Kingdom
17420,United Kingdom
16029,United Kingdom
16250,United Kingdom
12431,Australia
17511,United Kingdom
17548,United Kingdom
13705,United Kingdom
13747,United Kingdom
13408,United Kingdom
13767,United Kingdom
17924,United Kingdom
13448,United Kingdom
15862,United Kingdom
15513,United Kingdom
12791,Netherlands
16218,United Kingdom
14045,United Kingdom
14307,United Kingdom
17908,United Kingdom
17920,United Kingdom
